XAR_ROOT block_new_root
XAR_SPACE_GALAXY block_new_galaxy
XAR_SPACE_CASE_GAUNT block_new_space_case_gaunt
#XAR_BULK_STANDING_CUBES block_bulk_old
XAR_DANDELIONS block_new_dandelions
XAR_QUICKSAND_GRASS_11 block_new_quicksand_grass_11
XAR_FANATIC_GRASS_BOTTOM block_new_fanatic_grass_bottom
XAR_YING_TREE_INNER_BLUE_EXIT block_new_ying_tree_inner_blue_exit
XAR_SMALL_MINIGUN_PLANET block_new_small_minigun_planet
XAR_PLANET_CLAY block_new_planet_clay
XAR_HAPPY_LAND_START_ROOM block_new_happy_land_start_room
XAR_RICHMOND_BEDROOM block_new_richmond_bedroom
XAR_MOSSY_AIR block_new_mossy_air
XAR_MOSSY_AIR_TOP block_new_mossy_air_top
XAR_YW_0 block_new_yw0
XAR_MYLANTIS block_new_myl
XAR_SPACE_ROOT block_new_space_root
XAR_LIBRARY_LIBRARY block_new_liblib
XAR_GROUP_3_PATCH_TREES_BELOW block_new_i3_trees_below
XAR_GROUP_3_PATCH_TREES_ABOVE block_new_i3_trees_above
XAR_TUTORIAL_HAPPY_LAND block_new_xar_tutorial_happy_land

XAR_LARGE_WHITE_FLOWER block_xar_large_white_flower_alt
XAR_JACKFRUIT_AIR block_xar_jackfruit_air_treasure
XAR_JACKFRUIT_SOLID_YELLOW block_xar_jackfruit_solid_yellow_alt
XAR_MINI_AMMO_FOREST_GUERRILLA_KILO block_xar_mini_ammo_forest_guerrilla_kilo_alt
XAR_RAIL_CAVE_TREASURE_3 block_xar_rail_cave_treasure_3_alt
XAR_DESERT_ABOVE block_xar_desert_above_override
XAR_FANATIC_LATTICE block_xar_fanatic_lattice_override
